banking_id,banked_total,banking_total,banking_date,reconcile_status,restaurant_id,sealed_by,banking_time_indicator
1,392.61,2817.54,2024-01-01,pending,1,Vernon Potter,morning
2,1503.49,5598.89,2024-01-02,pending,1,Dominique Novak,morning
3,703.09,6683.35,2024-01-03,reconciled,1,Julie Bruce DDS,evening
4,2750.47,8416.11,2024-01-04,reconciled,1,Darlene Sandoval,evening
5,8393.83,9554.540000000003,2024-01-05,reconciled,1,Brandi Odom,evening
6,1290.18,3014.0400000000027,2024-01-06,pending,1,David Contreras,morning
7,4406.78,4415.560000000002,2024-01-07,reconciled,1,Marie Cruz,evening
8,80.72,3344.1300000000024,2024-01-08,pending,1,Kenneth Atkins,evening
9,15.53,6716.320000000003,2024-01-09,reconciled,1,Ronald Smith,evening
10,1446.42,10322.270000000004,2024-01-10,reconciled,1,Courtney Watson,morning
11,6157.84,11075.360000000004,2024-01-11,pending,1,Carlos Dean,morning
12,7575.89,7793.280000000003,2024-01-12,reconciled,1,Christina Mason,morning
13,1055.35,2801.750000000003,2024-01-13,pending,1,Michael Klein,evening
14,103.5,5545.7000000000035,2024-01-14,reconciled,1,Nicholas Mccarthy,morning
15,2252.88,8658.900000000001,2024-01-15,pending,1,Eric Jacobs,evening
16,4476.44,7623.180000000002,2024-01-16,pending,1,Francis Hayes,morning
17,6089.25,6662.580000000002,2024-01-17,pending,1,Samantha Wallace,morning
18,431.61,4710.550000000002,2024-01-18,pending,1,Miss Michele Vincent,morning
19,2154.6,6411.190000000002,2024-01-19,pending,1,Reginald Thomas,evening
20,1072.67,8062.240000000003,2024-01-20,pending,1,Patricia Arnold,evening
21,5982.77,10754.750000000002,2024-01-21,reconciled,1,Christopher Bryant,evening
22,3852.8,6878.430000000001,2024-01-22,reconciled,1,Devin Burke,evening
23,156.0,6217.89,2024-01-23,pending,1,Emily Fuller,evening
24,6108.39,7920.259999999999,2024-01-24,pending,1,Matthew Morales,evening
25,573.11,3940.399999999999,2024-01-25,reconciled,1,Shirley Riley,morning
26,1141.73,5735.039999999999,2024-01-26,pending,1,Jason Jones,evening
27,3952.06,6829.339999999999,2024-01-27,reconciled,1,Timothy Patel,evening
28,5471.23,6251.11,2024-01-28,pending,1,Carrie Freeman,evening
